split,f1_score,roc_auc,auprc
1,0.5263157894736842,0.9440677966101696,0.6467316017316017
2,0.5882352941176471,0.9610169491525424,0.7896965452847805
3,0.625,0.9830508474576272,0.8973595848595848
4,0.46153846153846156,0.9694915254237289,0.8270634920634921
5,0.625,0.9711864406779661,0.8117704517704517
6,0.6666666666666666,0.9593220338983052,0.785595238095238
7,0.5333333333333333,0.9796610169491525,0.8523595848595847
8,0.3333333333333333,0.9847457627118644,0.9140262515262515
9,0.5333333333333333,0.9677966101694916,0.8356240981240981
10,0.6363636363636364,0.9491525423728814,0.7641119909502262
11,0.7,0.9576271186440678,0.720108225108225
12,0.5333333333333333,0.9694915254237287,0.7998656898656898
13,0.7272727272727273,0.9559322033898305,0.7140476190476189
14,0.5555555555555556,0.9593220338983051,0.7534415584415584
15,0.46153846153846156,0.9779661016949153,0.8841514041514041
16,0.3333333333333333,0.9813559322033898,0.9122863247863248
17,0.6666666666666666,0.988135593220339,0.9272546897546897
18,0.3333333333333333,0.9915254237288136,0.9587412587412588
19,0.3076923076923077,0.9762711864406779,0.8379761904761904
20,0.625,0.9796610169491525,0.8258444333444334
21,0.6363636363636364,0.9338983050847458,0.5842018602312721
22,0.16666666666666666,0.971186440677966,0.7842063492063491
23,0.6666666666666666,0.9440677966101696,0.6915384615384614
24,0.5882352941176471,0.9694915254237287,0.7998656898656898
25,0.625,0.9728813559322034,0.7897008547008546
26,0.5333333333333333,0.983050847457627,0.8655880230880231
27,0.3333333333333333,0.988135593220339,0.9272546897546897
28,0.7272727272727273,0.9593220338983051,0.7734623709623709
29,0.5555555555555556,0.9440677966101695,0.6572217978100331
30,0.625,0.9813559322033899,0.8773595848595848
31,0.16666666666666666,0.9677966101694915,0.7665323565323565
32,0.5263157894736842,0.9457627118644069,0.6830411255411255
33,0.5882352941176471,0.9694915254237289,0.7705233655233654
34,0.3333333333333333,0.988135593220339,0.9272546897546897
35,0.46153846153846156,0.9966101694915254,0.9833333333333333
36,0.7,0.9474576271186441,0.6558225108225108
37,0.46153846153846156,0.9796610169491525,0.9109523809523808
38,0.5555555555555556,0.9677966101694915,0.8392307692307691
39,0.6666666666666666,0.988135593220339,0.9464285714285713
40,0.625,0.9915254237288136,0.9430122655122654
41,0.16666666666666666,0.9694915254237287,0.7784371184371184
42,0.5714285714285714,0.9915254237288136,0.9540404040404039
43,0.5882352941176471,0.9661016949152542,0.8167199467199466
44,0.625,0.9796610169491525,0.8684706959706959
45,0.3333333333333333,0.9593220338983051,0.7915508021390374
46,0.5882352941176471,0.976271186440678,0.856129426129426
47,0.5882352941176471,0.9661016949152542,0.7439682539682538
48,0.64,0.9372881355932203,0.6458692696192696
49,0.6363636363636364,0.9338983050847458,0.6113937369819723
50,0.42857142857142855,0.9440677966101695,0.6415919701213819
51,0.3333333333333333,0.9847457627118644,0.9140262515262515
52,0.6666666666666666,0.9728813559322035,0.853611111111111
53,0.42857142857142855,0.9745762711864406,0.8087698412698412
54,0.3333333333333333,0.9711864406779661,0.8572358197358197
55,0.6666666666666666,0.9338983050847458,0.5603732378732379
56,0.5333333333333333,0.9864406779661017,0.8813455988455987
57,0.16666666666666666,0.9644067796610171,0.7734415584415584
58,0.47058823529411764,0.9542372881355932,0.668452380952381
59,0.3333333333333333,0.9847457627118644,0.9358974358974358
60,0.46153846153846156,0.976271186440678,0.8841666666666667
61,0.6,0.9474576271186441,0.6719605394605394
62,0.7619047619047619,0.964406779661017,0.7967199467199466
63,0.5882352941176471,0.9745762711864407,0.8230341880341879
64,0.5882352941176471,0.9677966101694915,0.8133866133866133
65,0.5555555555555556,0.9525423728813559,0.6823809523809523
66,0.7619047619047619,0.9542372881355932,0.6916008991008991
67,0.5714285714285714,0.9864406779661017,0.9406593406593405
68,0.5714285714285714,0.9796610169491525,0.8787484737484738
69,0.46153846153846156,0.983050847457627,0.908531746031746
70,0.5882352941176471,0.9576271186440678,0.6981485181485181
71,0.5714285714285714,0.9847457627118644,0.9140262515262515
72,0.7272727272727273,0.9423728813559322,0.6339538239538239
73,0.625,0.976271186440678,0.8101373626373626
74,0.3076923076923077,0.9576271186440678,0.7455785799168152
75,0.5714285714285714,0.9847457627118644,0.9041777666777667
76,0.7142857142857143,0.9220338983050848,0.5778984414278532
77,0.3333333333333333,0.9847457627118643,0.9295482295482295
78,0.5,0.9559322033898305,0.7466575091575092
79,0.625,0.9779661016949153,0.8468650793650793
80,0.5333333333333333,0.983050847457627,0.8868650793650793
81,0.5333333333333333,0.9813559322033898,0.8322546897546897
82,0.5882352941176471,0.9762711864406779,0.836024531024531
83,0.5333333333333333,0.9694915254237289,0.7938888888888889
84,0.631578947368421,0.964406779661017,0.7594122544122544
85,0.5333333333333333,0.9677966101694915,0.7665323565323565
86,0.5333333333333333,0.9661016949152542,0.7633866133866133
87,0.7,0.9525423728813559,0.6823809523809523
88,0.3076923076923077,0.964406779661017,0.7614574314574314
89,0.5,0.964406779661017,0.8067063492063492
90,0.5333333333333333,0.9864406779661017,0.9105880230880231
91,0.46153846153846156,0.9745762711864406,0.8524450549450548
92,0.5555555555555556,0.9559322033898305,0.7111796536796536
93,0.3333333333333333,0.9779661016949153,0.8792063492063492
94,0.6956521739130435,0.9389830508474577,0.625501443001443
95,0.625,0.988135593220339,0.9187698412698412
96,0.42857142857142855,0.9576271186440678,0.7329220779220779
97,0.5333333333333333,0.976271186440678,0.856129426129426
98,0.625,0.976271186440678,0.8421031746031745
99,0.5555555555555556,0.9593220338983051,0.7695129870129869
100,0.3333333333333333,0.9796610169491525,0.8847008547008547
101,0.5555555555555556,0.971186440677966,0.85005328005328
102,0.6666666666666666,0.9728813559322034,0.8367704517704517
103,0.47058823529411764,0.9474576271186441,0.6139285714285715
104,0.18181818181818182,0.9796610169491525,0.8948809523809523
105,0.5263157894736842,0.9338983050847458,0.6012157287157287
106,0.5555555555555556,0.9610169491525423,0.7342199467199466
107,0.5882352941176471,0.9610169491525423,0.7298151848151847
108,0.42857142857142855,0.9610169491525424,0.7828463203463203
109,0.625,0.976271186440678,0.8337484737484737
110,0.5263157894736842,0.9423728813559322,0.6482932263814616
111,0.6666666666666666,0.9627118644067796,0.7309262959262959
112,0.5555555555555556,0.9610169491525424,0.7667748917748917
113,0.7368421052631579,0.976271186440678,0.8607614607614608
114,0.5555555555555556,0.964406779661017,0.7764818514818514
115,0.5555555555555556,0.9457627118644067,0.6225627069009423
116,0.5882352941176471,0.9627118644067796,0.7309262959262959
117,0.5,0.9694915254237287,0.7723015873015873
118,0.6666666666666666,0.9694915254237287,0.7923015873015872
119,0.3076923076923077,0.9711864406779662,0.8272222222222222
120,0.5714285714285714,0.983050847457627,0.8979292929292929
121,0.6666666666666666,0.9813559322033899,0.8915190365190365
122,0.5555555555555556,0.9593220338983052,0.762608225108225
123,0.5882352941176471,0.9779661016949153,0.8548523698523698
124,0.7272727272727273,0.964406779661017,0.8176190476190476
125,0.5333333333333333,0.9728813559322034,0.8030006105006104
126,0.625,0.976271186440678,0.848034188034188
127,0.5555555555555556,0.9491525423728814,0.7086363636363635
128,0.3333333333333333,0.9932203389830508,0.9651515151515152
129,0.5333333333333333,0.9813559322033898,0.8322546897546897
130,0.631578947368421,0.9542372881355933,0.6892199467199467
131,0.3076923076923077,0.9576271186440679,0.7368939393939393
132,0.16666666666666666,0.9813559322033898,0.8322546897546897
133,0.625,0.9864406779661017,0.9105880230880231
134,0.5882352941176471,0.9677966101694915,0.7865323565323564
135,0.5333333333333333,0.9694915254237289,0.7843894993894993
136,0.3076923076923077,0.9694915254237287,0.7784371184371184
137,0.5882352941176471,0.9610169491525424,0.7566013071895424
138,0.6666666666666666,0.9847457627118644,0.9140262515262515
139,0.18181818181818182,0.9847457627118644,0.9374999999999999
140,0.7,0.9779661016949153,0.8774281274281274
141,0.625,0.988135593220339,0.9272546897546897
142,0.5333333333333333,0.9711864406779661,0.8117704517704517
143,0.625,0.983050847457627,0.8655880230880231
144,0.3076923076923077,0.9661016949152543,0.7978968253968254
145,0.3333333333333333,0.9898305084745763,0.951923076923077
146,0.6666666666666666,0.947457627118644,0.6536607836607836
147,0.625,0.9762711864406779,0.8029292929292928
148,0.3333333333333333,0.964406779661017,0.8311846405228758
149,0.5882352941176471,0.9677966101694915,0.802063492063492
150,0.16666666666666666,0.971186440677966,0.7842063492063491
151,0.3333333333333333,0.9627118644067797,0.7786796536796536
152,0.5333333333333333,0.9745762711864407,0.8407614607614607
153,0.5555555555555556,0.9508474576271188,0.6877272727272726
154,0.3076923076923077,0.9711864406779661,0.7777960927960927
155,0.5882352941176471,0.9677966101694915,0.7865323565323564
156,0.5333333333333333,0.9677966101694915,0.7925929625929625
157,0.5,0.9677966101694915,0.7925929625929625
158,0.5882352941176471,0.9610169491525424,0.7726190476190475
159,0.6666666666666666,1.0,0.9999999999999999
160,0.5714285714285714,0.9932203389830508,0.9714285714285714
161,0.625,0.9864406779661017,0.9105880230880231
162,0.3333333333333333,0.9830508474576272,0.8973595848595848
163,0.5333333333333333,0.9694915254237289,0.8270634920634921
164,0.7272727272727273,0.9576271186440678,0.7599891774891774
165,0.42857142857142855,0.9728813559322034,0.7897008547008546
166,0.46153846153846156,0.9949152542372881,0.9733333333333333
167,0.6,0.9389830508474577,0.6263003663003662
