f1_score,roc_auc,auprc
0.7692307692307693,0.9983050847457627,0.9909090909090909
0.6451612903225806,0.9491525423728814,0.6739194139194138
0.5128205128205128,0.9491525423728814,0.6678671328671328
0.6451612903225806,0.9949152542372882,0.9769230769230769
0.5161290322580645,0.9084745762711864,0.6146461280900639
0.8,0.9847457627118644,0.8480122655122654
0.7407407407407407,0.9559322033898305,0.7308333333333333
0.5555555555555556,0.9745762711864407,0.8529836829836829
0.6060606060606061,0.952542372881356,0.705595238095238
0.72,0.9372881355932204,0.6027963702963703
0.5555555555555556,0.9508474576271186,0.6246460402342755
0.625,0.9983050847457627,0.9909090909090909
0.5,0.8915254237288135,0.47624683689901076
0.5555555555555556,0.9440677966101695,0.6371477052359406
0.7407407407407407,1.0,0.9999999999999999
0.5,0.9474576271186441,0.714112554112554
0.5555555555555556,0.9525423728813559,0.7958527501909853
0.6896551724137931,0.964406779661017,0.719508547008547
0.5405405405405406,0.9711864406779661,0.741024531024531
0.6451612903225806,0.9423728813559322,0.6939196832579184
0.6666666666666666,0.952542372881356,0.726199494949495
0.5263157894736842,0.8983050847457628,0.4600240987083093
0.5263157894736842,0.8966101694915254,0.5058159232072276
0.5555555555555556,0.9457627118644069,0.6197527472527473
0.6896551724137931,0.9305084745762712,0.6971904024767801
0.625,0.9779661016949152,0.8826479076479076
0.7407407407407407,0.983050847457627,0.8979292929292929
0.5128205128205128,0.9457627118644069,0.6519172494172495
0.6451612903225806,0.9898305084745762,0.9354365079365078
0.5714285714285714,0.9796610169491525,0.8923701298701298
0.5882352941176471,0.9627118644067796,0.7942957042957042
0.7407407407407407,0.9745762711864406,0.7965190365190364
0.5,0.9152542372881356,0.6441205118411
0.625,0.9677966101694915,0.8412004662004661
0.625,0.9440677966101695,0.6201315351315351
0.6923076923076923,0.9576271186440678,0.7135731373889269
0.6451612903225806,0.9457627118644067,0.7781660444818339
0.625,0.9627118644067797,0.7183333333333334
0.7142857142857143,0.9830508474576272,0.8973595848595848
0.6451612903225806,0.9203389830508475,0.5988787141650919
0.5882352941176471,0.9898305084745762,0.9354365079365078
0.6666666666666666,0.9762711864406779,0.8748701298701297
0.45454545454545453,0.9322033898305084,0.6643697478991596
0.5128205128205128,0.9813559322033898,0.8322546897546897
0.5405405405405406,0.9847457627118644,0.9086435786435786
0.6896551724137931,0.9915254237288136,0.9540404040404039
0.46511627906976744,0.9796610169491525,0.8860245310245309
0.5882352941176471,0.9966101694915255,0.9809090909090908
0.5555555555555556,0.9610169491525424,0.8170887445887446
0.5806451612903226,0.9,0.5615732959850607
0.5263157894736842,0.9305084745762712,0.6205103668261563
0.6060606060606061,0.9762711864406779,0.8557034632034631
0.425531914893617,0.964406779661017,0.8262004662004662
0.7142857142857143,0.9440677966101695,0.6565445665445665
0.7407407407407407,0.9322033898305084,0.5779077784960138
0.625,0.964406779661017,0.831127206127206
0.5714285714285714,0.9338983050847458,0.5970149213531567
0.625,0.9881355932203391,0.9387412587412588
0.625,0.9813559322033899,0.8915190365190365
0.625,1.0,0.9999999999999999
0.6896551724137931,0.9593220338983051,0.8034122740005093
0.5,0.8576271186440678,0.4025991556042707
0.47619047619047616,0.952542372881356,0.749512987012987
0.8333333333333334,0.9677966101694915,0.76502886002886
0.5882352941176471,0.9355932203389831,0.5783381814264168
0.625,0.9677966101694915,0.8426190476190475
0.6666666666666666,0.9288135593220339,0.5618958737341091
0.625,0.9152542372881356,0.5425457437299542
0.4,0.8101694915254236,0.3999421631000578
0.5555555555555556,0.9694915254237289,0.8468939393939393
0.6896551724137931,0.9847457627118644,0.9086435786435786
0.5882352941176471,0.876271186440678,0.44008568852962443
0.7142857142857143,0.9677966101694915,0.8307571513453865
0.5714285714285714,0.9898305084745763,0.9263455988455987
0.47619047619047616,0.8830508474576272,0.530202647593952
0.6451612903225806,0.9694915254237289,0.8519147519147517
0.6060606060606061,0.9847457627118644,0.9016991341991342
0.46511627906976744,0.9525423728813559,0.7987098930481282
0.5128205128205128,0.9542372881355933,0.6874206349206349
0.5882352941176471,0.9813559322033898,0.9037698412698413
0.5263157894736842,0.9406779661016949,0.7698110661268556
0.5263157894736842,0.9203389830508475,0.5485855759307772
0.5882352941176471,0.9067796610169492,0.5974206349206348
0.5833333333333334,0.8983050847457628,0.48933323922454364
0.5,0.9728813559322034,0.8541514041514041
0.6666666666666666,0.9745762711864406,0.763531746031746
0.5882352941176471,0.9576271186440679,0.7952938727938728
0.6666666666666666,0.9593220338983051,0.7237545787545786
0.7407407407407407,0.9847457627118644,0.9140262515262515
0.5263157894736842,0.9440677966101696,0.6154303539597658
0.4864864864864865,0.8915254237288135,0.4925354493939686
0.6060606060606061,0.9271186440677966,0.5281318681318682
0.5882352941176471,0.9898305084745763,0.9263455988455987
0.5128205128205128,0.9830508474576272,0.9051373626373626
0.5882352941176471,0.9559322033898305,0.7784226884226884
0.5714285714285714,0.976271186440678,0.848034188034188
0.6666666666666666,0.976271186440678,0.8696503496503495
0.47619047619047616,0.9135593220338983,0.5706715506715506
0.6666666666666666,0.9389830508474577,0.5838003663003662
0.43478260869565216,0.771186440677966,0.28302831061550965
0.6666666666666666,0.9254237288135593,0.5602738876190889
0.5405405405405406,0.9847457627118644,0.9194230769230768
0.6451612903225806,0.9610169491525424,0.8091666666666667
0.5405405405405406,0.9661016949152543,0.8350641025641025
0.4444444444444444,0.864406779661017,0.40866389458494723
0.6666666666666666,0.9305084745762712,0.5640817953975849
0.6,0.9186440677966101,0.5869896331738437
0.625,0.9220338983050848,0.6007616892911011
0.47619047619047616,0.935593220338983,0.7505344655344655
0.5,0.940677966101695,0.7082586367880485
0.5263157894736842,0.9593220338983051,0.6870879120879121
0.625,0.9694915254237287,0.8459623709623708
0.6666666666666666,0.9694915254237287,0.7376479076479077
0.6060606060606061,0.9542372881355932,0.6456593406593406
0.47619047619047616,0.9101694915254238,0.6780673544721533
0.47619047619047616,0.8779661016949153,0.4217481203007519
0.5263157894736842,0.9694915254237287,0.7416008991008991
0.625,0.9728813559322034,0.8630402930402928
0.8,0.9864406779661017,0.9183658008658008
0.5625,0.8932203389830509,0.46980769230769237
0.7142857142857143,0.9542372881355932,0.6878008021390374
0.47619047619047616,0.9322033898305085,0.6270802808302808
0.5,1.0,0.9999999999999999
0.5128205128205128,1.0,0.9999999999999999
0.5714285714285714,0.9338983050847458,0.5815842490842491
0.5,0.9067796610169492,0.4719276556776557
0.5454545454545454,0.9118644067796611,0.6664646464646464
0.4878048780487805,0.988135593220339,0.942135642135642
0.5405405405405406,0.9694915254237289,0.8669444444444444
0.5882352941176471,0.9949152542372881,0.9733333333333333
0.40816326530612246,0.9966101694915255,0.9809090909090908
0.5882352941176471,0.9627118644067797,0.7673155929038282
0.7142857142857143,1.0,0.9999999999999999
0.5833333333333334,0.9389830508474577,0.6830176767676768
0.625,0.9338983050847458,0.6701388888888888
0.5555555555555556,0.9847457627118644,0.9086435786435786
0.7142857142857143,0.9627118644067797,0.7489926739926739
0.5405405405405406,0.9440677966101695,0.6580879281537176
0.5806451612903226,0.9118644067796611,0.5256102231102232
0.5882352941176471,1.0,0.9999999999999999
0.5714285714285714,0.9542372881355932,0.6957242757242756
0.5128205128205128,0.9593220338983052,0.7972619047619047
0.5882352941176471,0.9932203389830508,0.9572979797979798
0.625,0.9254237288135593,0.6532414369256474
0.5882352941176471,0.8881355932203389,0.42302678831316604
0.6451612903225806,0.9847457627118644,0.8480122655122654
0.6666666666666666,0.9694915254237289,0.7353646353646354
0.47619047619047616,0.9542372881355933,0.784536297036297
0.7142857142857143,0.9830508474576272,0.7980122655122655
0.5714285714285714,0.983050847457627,0.891976911976912
0.6451612903225806,0.9203389830508474,0.5777493778151672
0.5263157894736842,0.9915254237288136,0.9540404040404039
0.5263157894736842,0.9847457627118644,0.9140262515262515
0.425531914893617,0.9694915254237289,0.7362626262626263
0.46153846153846156,0.840677966101695,0.3754148172089349
0.5882352941176471,0.9423728813559322,0.6893579949462302
0.5263157894736842,0.8423728813559321,0.3486778318300058
0.7692307692307693,0.9762711864406779,0.8748701298701297
0.6428571428571429,0.9135593220338983,0.5153800366300367
