Timestamp,Run,F1_Macro,F1_Binary,AUC,AUPRC
2026-05-03 07:07:05,91,0.9417,0.9000,0.9950,0.9769
2026-05-03 07:07:19,92,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:07:38,93,0.8833,0.8000,0.9900,0.9532
2026-05-03 07:07:59,94,0.8833,0.8000,0.9917,0.9587
2026-05-03 07:08:14,95,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:08:31,96,0.9417,0.9000,0.9950,0.9698
2026-05-03 07:08:50,97,0.8250,0.7000,0.9650,0.8633
2026-05-03 07:09:10,98,0.9417,0.9000,0.9950,0.9769
2026-05-03 07:09:27,99,0.9417,0.9000,0.9533,0.9263
2026-05-03 07:09:44,100,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:10:03,101,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:10:16,102,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:10:32,103,0.9417,0.9000,0.9917,0.9667
2026-05-03 07:10:50,104,0.9417,0.9000,0.9900,0.9625
2026-05-03 07:11:08,105,0.9417,0.9000,0.9750,0.9400
2026-05-03 07:11:21,106,0.8833,0.8000,0.9833,0.9310
2026-05-03 07:11:38,107,0.9417,0.9000,0.9883,0.9525
2026-05-03 07:11:58,108,0.9417,0.9000,0.9950,0.9733
2026-05-03 07:12:16,109,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:12:32,110,0.8250,0.7000,0.9550,0.8310
2026-05-03 07:12:52,111,0.9417,0.9000,0.9917,0.9614
2026-05-03 07:13:11,112,0.8833,0.8000,0.9900,0.9476
2026-05-03 07:13:26,113,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:13:44,114,0.8833,0.8000,0.9867,0.9407
2026-05-03 07:14:04,115,0.9417,0.9000,0.9767,0.9417
2026-05-03 07:14:20,116,0.8833,0.8000,0.9750,0.9143
2026-05-03 07:14:37,117,0.8833,0.8000,0.9700,0.9109
2026-05-03 07:15:01,118,0.8833,0.8000,0.9733,0.9235
2026-05-03 07:15:16,119,0.9417,0.9000,0.9817,0.9476
2026-05-03 07:15:35,120,0.9417,0.9000,0.9850,0.9526
2026-05-03 07:15:55,121,0.8250,0.7000,0.9333,0.7755
2026-05-03 07:16:10,122,0.8833,0.8000,0.9883,0.9485
2026-05-03 07:16:28,123,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:16:52,124,0.9417,0.9000,0.9833,0.9500
2026-05-03 07:17:12,125,0.9417,0.9000,0.9917,0.9667
2026-05-03 07:17:31,126,0.8833,0.8000,0.9933,0.9652
2026-05-03 07:17:52,127,0.8250,0.7000,0.9500,0.7403
2026-05-03 07:18:09,128,0.9417,0.9000,0.9967,0.9809
2026-05-03 07:18:26,129,0.8250,0.7000,0.9450,0.7564
2026-05-03 07:18:43,130,0.9417,0.9000,0.9900,0.9503
2026-05-03 07:19:04,131,0.8833,0.8000,0.9867,0.9407
2026-05-03 07:19:18,132,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:19:35,133,1.0000,1.0000,1.0000,1.0000
2026-05-03 07:19:56,134,0.8833,0.8000,0.9933,0.9652
2026-05-03 07:20:11,135,0.9417,0.9000,0.9967,0.9833
2026-05-03 07:20:26,136,0.9417,0.9000,0.9833,0.9426
2026-05-03 07:20:48,137,0.8250,0.7000,0.9183,0.7881
2026-05-03 07:21:06,138,0.9417,0.9000,0.9950,0.9733
2026-05-03 07:21:25,139,0.8833,0.8000,0.9633,0.8928
2026-05-03 07:21:46,140,0.9417,0.9000,0.9900,0.9625
2026-05-03 07:22:04,141,0.9417,0.9000,0.9983,0.9909
2026-05-03 07:22:22,142,0.8250,0.7000,0.9833,0.9192
2026-05-03 07:22:40,143,0.8833,0.8000,0.9833,0.9374
2026-05-03 07:22:59,144,0.9417,0.9000,0.9700,0.9357
2026-05-03 07:23:14,145,0.9417,0.9000,0.9883,0.9063
2026-05-03 07:23:30,146,0.9417,0.9000,0.9717,0.9189
