Run;f1_score;roc_auc;auprc
170;0,588235294;0,989830508;0,935436508
171;0,5;0,977966102;0,873253968
172;0,740740741;0,971186441;0,854879695
173;0,571428571;0,961016949;0,848571429
174;0,540540541;0,959322034;0,769720965
175;0,514285714;0,922033898;0,645594634
176;0,740740741;0,993220339;0,95729798
177;0,833333333;0,991525424;0,954040404
178;0,714285714;0,955932203;0,788702964
179;0,588235294;0,937288136;0,675275974
180;0,689655172;1;1
181;0,588235294;0,998305085;0,990909091
182;0,606060606;0,942372881;0,756863831
183;0,625;0,96779661;0,827326007
184;0,421052632;0,716949153;0,230758051
185;0,740740741;0,993220339;0,95729798
186;0,64516129;0,949152542;0,712397047
187;0,526315789;0,857627119;0,396212735
188;0,606060606;0,994915254;0,96979798
189;0,512820513;0,949152542;0,672216387
190;0,571428571;0,891525424;0,470570728
191;0,606060606;0,996610169;0,980909091
192;0,588235294;0,977966102;0,882647908
193;0,869565217;0,998305085;0,990909091
194;0,606060606;0,962711864;0,706060606
195;0,588235294;0,927118644;0,633796992
196;0,526315789;0,979661017;0,823365801
197;0,540540541;0,950847458;0,648942169
198;0,571428571;0,976271186;0,889508547
199;0,526315789;0,984745763;0,9375
200;0,769230769;0,994915254;0,973333333
201;0,72;0,93559322;0,557926926
202;0,588235294;0,954237288;0,689157509
203;0,689655172;0,984745763;0,928484848
204;0,571428571;0,888135593;0,489349473
205;0,487804878;0,879661017;0,504566165
206;0,588235294;0,984745763;0,92465035
207;0,606060606;0,993220339;0,95729798
208;0,666666667;0,959322034;0,746841492
209;0,526315789;0,952542373;0,715824176
210;0,666666667;0,942372881;0,640075619
211;0,588235294;0,959322034;0,741179654
212;0,5;0,938983051;0,624716387
213;0,625;0,944067797;0,723428508
214;0,8;0,983050847;0,798012266
215;0,689655172;0,927118644;0,532466969
216;0,540540541;0,969491525;0,74015873
217;0,5;0,979661017;0,89465035
218;0,625;0,949152542;0,786544567
219;0,540540541;0,96779661;0,836892682
220;0,514285714;0,861016949;0,397328625
221;0,714285714;0,966101695;0,717539683
222;0,588235294;0,977966102;0,868034188
223;0,666666667;0,959322034;0,784588745
224;0,64516129;0,974576271;0,865172328
225;0,571428571;0,984745763;0,926428571
226;0,5;0,993220339;0,962222222
227;0,769230769;0,952542373;0,620959873
228;0,689655172;0,983050847;0,897929293
229;0,476190476;0,933898305;0,671760367
230;0,714285714;0,952542373;0,677252747
231;0,482758621;0,896610169;0,647671338
232;0,571428571;0,962711864;0,743148518
233;0,625;0,988135593;0,929026252
234;0,545454545;0,869491525;0,415736216
235;0,487804878;0,993220339;0,95729798
236;0,588235294;0,989830508;0,926345599
237;0,64516129;0,945762712;0,669298246
238;0,620689655;0,913559322;0,521055845
239;0,465116279;0,96440678;0,836816239
240;0,689655172;0,988135593;0,92725469
241;0,64516129;0,927118644;0,646612554
242;0,689655172;0,976271186;0,894050802
243;0,740740741;1;1
244;0,625;0,969491525;0,746024531
245;0,740740741;0,981355932;0,83225469
246;0,465116279;0,976271186;0,874444444
247;0,571428571;0,976271186;0,870941558
248;0,5;0,888135593;0,466909903
249;0,5;0,974576271;0,824357864
250;0,434782609;0,961016949;0,746989443
251;0,606060606;0,988135593;0,929026252
252;0,64516129;0,949152542;0,664038462
253;0,869565217;0,986440678;0,881345599
254;0,625;0,989830508;0,926345599
255;0,555555556;0,954237288;0,732222222
256;0,540540541;0,972881356;0,841219336
257;0,689655172;0,979661017;0,910952381
258;0,454545455;0,922033898;0,513246884
259;0,555555556;0,954237288;0,768702964
260;0,555555556;0,903389831;0,537331791
261;0,6;0,889830508;0,435267028
262;0,666666667;0,986440678;0,918365801
263;0,555555556;0,955932203;0,695361991
264;0,487804878;0,950847458;0,768345821
265;0,606060606;0,937288136;0,749369748
266;0,526315789;0,996610169;0,980909091
267;0,555555556;0,898305085;0,469276235
268;0,666666667;0,977966102;0,877428127
269;0,545454545;0,884745763;0,476218242
270;0,625;0,930508475;0,613507873
271;0,740740741;0,93220339;0,577907778
272;0,434782609;0,96440678;0,714393939
273;0,555555556;0,986440678;0,922929293
274;0,571428571;0,994915254;0,976923077
275;0,555555556;0,903389831;0,628549784
276;0,571428571;0,991525424;0,943012266
277;0,588235294;0,96779661;0,766532357
278;0,526315789;0,988135593;0,906345599
279;0,512820513;0,972881356;0,746519037
280;0,540540541;0,954237288;0,662629038
281;0,512820513;0,940677966;0,603111333
282;0,666666667;0,983050847;0,897929293
283;0,606060606;0,962711864;0,829038462
284;0,540540541;0,984745763;0,901699134
