split;f1_score;roc_auc;auprc
1;0.6;0.9610169491525424;0.751969696969697
2;0.8;0.976271186440678;0.877167277167277
3;0.7;0.9745762711864406;0.8814574314574314
4;0.7;0.9627118644067796;0.7454212454212453
5;0.7;0.9728813559322034;0.7973701298701298
6;0.7;0.9627118644067797;0.7643285799168151
7;0.7;0.9694915254237287;0.8155844155844155
8;0.8;0.9762711864406779;0.8674847374847374
9;0.7;0.9677966101694915;0.8286247086247086
10;0.8;0.964406779661017;0.8780934343434342
11;0.7;0.9508474576271186;0.7193192428486546
12;0.7;0.9423728813559322;0.6835397883849895
13;0.8;0.9779661016949153;0.8841514041514041
14;0.9;0.983050847457627;0.8868650793650793
15;0.7;0.952542372881356;0.6802913752913753
16;0.8;0.9728813559322034;0.8914624183006535
17;0.8;0.9677966101694916;0.8309920634920634
18;0.7;0.9423728813559322;0.6857276343031492
19;0.9;0.9949152542372882;0.9697979797979798
20;0.7;0.9711864406779661;0.8201723276723276
21;0.8;0.988135593220339;0.9272546897546897
22;0.8;0.9915254237288136;0.9587412587412588
23;0.8;0.9813559322033898;0.8566991341991341
24;0.6;0.9576271186440678;0.7484623709623709
25;0.6;0.9593220338983051;0.8162679425837319
26;0.8;0.9711864406779662;0.8417063492063491
27;0.5;0.9254237288135593;0.6073327111485006
28;0.8;0.964406779661017;0.7568253968253967
29;0.6;0.9491525423728814;0.6765075120957473
30;0.6;0.9508474576271186;0.7261416361416361
31;0.7;0.9525423728813559;0.6924238180120533
32;0.6;0.9288135593220339;0.6217099567099568
33;0.7;0.9627118644067797;0.7602272727272726
34;0.4;0.923728813559322;0.5615824453324454
35;0.8;0.9677966101694916;0.7802228327228327
36;0.7;0.9576271186440678;0.7526723276723276
37;0.6;0.9457627118644067;0.6575649350649351
38;0.8;0.9779661016949153;0.8813339438339437
39;0.8;0.9898305084745762;0.941540404040404
40;0.5;0.9135593220338983;0.49722402597402604
41;0.9;0.9847457627118644;0.8480122655122654
42;1.0;1.0;0.9999999999999999
43;0.8;0.9779661016949153;0.8813339438339437
44;0.6;0.9389830508474577;0.6468950004244122
45;0.9;0.9949152542372881;0.9733333333333333
46;0.8;0.9508474576271186;0.7066100076394194
47;0.7;0.9457627118644069;0.7701939237233355
48;0.5;0.8949152542372881;0.4608466819221968
49;0.7;0.9694915254237289;0.8416117216117215
50;0.5;0.9372881355932203;0.607129667717903
51;0.7;0.9508474576271186;0.7988220551378444
52;0.7;0.9593220338983051;0.7532828282828282
53;0.7;0.9559322033898305;0.6428310578310579
54;0.8;0.9779661016949153;0.8587484737484737
55;0.6;0.9305084745762713;0.6716541353383458
56;0.7;0.9610169491525424;0.805595238095238
57;0.6;0.9220338983050849;0.5893891780733886
58;0.7;0.9694915254237289;0.8476069681952034
59;0.8;0.9728813559322034;0.7897008547008546
60;0.8;0.9711864406779661;0.7980555555555555
61;0.6;0.9372881355932203;0.6379664289958407
62;0.8;0.9728813559322035;0.8633333333333333
63;0.6;0.9593220338983051;0.8149062049062049
64;0.7;0.9508474576271186;0.7225396825396825
65;0.7;0.9610169491525423;0.7565508021390374
66;0.8;0.9830508474576272;0.9317307692307691
67;0.5;0.9101694915254238;0.4817235052529171
68;0.7;0.9661016949152542;0.7792596292596292
69;0.6;0.9305084745762712;0.621941391941392
70;0.8;0.9881355932203391;0.9408119658119657
71;0.8;0.9610169491525424;0.8246078431372549
72;0.8;0.9779661016949153;0.8136435786435786
73;0.7;0.9423728813559322;0.7162055335968379
74;0.9;0.9881355932203391;0.9063455988455987
