scaler,k,f1_mean,f1_std
minmax,1,0.7806000000000002,0.0894630650045034
minmax,3,0.7674000000000001,0.07948106692791689
minmax,5,0.7632000000000001,0.08225424001229362
minmax,9,0.762,0.07124605252222753
minmax,11,0.762,0.06867313885355761
standard,1,0.7726000000000001,0.0995451656284724
standard,5,0.75,0.08637129152675677
standard,3,0.7445999999999999,0.0948200400759249
standard,7,0.7437999999999999,0.09133214111144008
standard,9,0.7348,0.08502329092666318
