k,f1_mean,f1_std,auc_mean,auprc_mean
1,0.731,0.10741973747873343,0.9630169491525424,0.7858488708553303
3,0.6829999999999998,0.09803570778037972,0.9558813559322035,0.7103050139898016
5,0.6969999999999997,0.09844287683728065,0.9573050847457628,0.7185979216646785
7,0.6839999999999999,0.10170545708072898,0.9555084745762714,0.7111355610376896
9,0.6709999999999999,0.10889903580840375,0.9537966101694912,0.6999883901596843
11,0.6639999999999999,0.11182128598795493,0.9513559322033898,0.6812860944782771
15,0.6669999999999997,0.10493331215586403,0.9501864406779661,0.6810908300720606
20,0.642,0.11061645447219869,0.9384406779661016,0.6412285414819958
