Run;f1_score;roc_auc;auprc
213;0.8;0.9867;0.9407
214;0.6;0.9433;0.6435
215;0.6;0.9333;0.5651
216;0.9;0.9817;0.94
217;1;1;1
218;0.8;0.9317;0.8514
219;0.9;0.9783;0.9355
220;0.9;0.9933;0.9573
221;0.7;0.9017;0.8044
222;0.6;0.905;0.6205
223;0.8;0.9617;0.9037
224;0.6;0.9117;0.6877
225;0.9;0.9983;0.9909
226;0.9;0.9867;0.9556
227;0.8;0.9633;0.9152
228;0.6;0.93;0.6833
229;0.7;0.98;0.9073
230;0.9;0.99;0.9625
231;0.5;0.9083;0.654
232;1;1;1
233;0.8;0.94;0.8745
234;1;1;1
235;0.9;0.995;0.9769
236;0.9;0.9817;0.9476
237;0.8;0.955;0.8995
238;0.8;0.985;0.9332
239;0.9;0.985;0.9069
240;0.6;0.9517;0.775
241;0.9;0.985;0.9377
242;0.9;0.985;0.9526
243;1;1;1
244;0.9;0.9867;0.9488
245;0.8;0.9617;0.8902
246;0.9;0.995;0.9769
247;0.9;0.9933;0.9714
248;0.8;0.99;0.9532
249;0.8;0.9783;0.9188
250;0.8;0.9933;0.9652
251;0.9;0.9967;0.9809
252;0.8;0.9833;0.9317
253;0.9;0.9917;0.9667
254;0.9;0.965;0.9323
255;0.9;0.9717;0.9285
256;0.9;0.9933;0.9622
257;0.9;0.9933;0.9714
258;0.8;0.9783;0.9198
259;0.9;0.985;0.9526
260;0.9;0.9983;0.9909
261;0.8;0.9783;0.8995
262;0.9;0.9933;0.9669
263;0.7;0.95;0.7104
264;0.9;0.9867;0.9414
265;0.9;0.9933;0.9669
266;0.9;0.9967;0.9833
267;0.9;0.9883;0.9588
268;0.8;0.975;0.9044
269;0.8;0.9533;0.8813
270;0.9;0.9833;0.95
271;1;1;1
272;0.9;0.9933;0.9714
273;0.9;0.98;0.9455
274;0.9;0.9917;0.9614
275;0.9;0.9917;0.9667
276;0.8;0.9783;0.9198
277;0.9;0.9917;0.9667
278;0.8;0.99;0.9532
279;0.9;0.985;0.9526
280;0.9;0.99;0.9567
281;0.9;0.995;0.9733
282;0.9;0.9917;0.9667
283;0.8;0.955;0.8796
284;0.9;0.9933;0.9622
285;0.9;0.9817;0.9476
286;0.9;0.9883;0.9588
287;0.9;0.9967;0.9833
288;0.9;0.9867;0.9235
289;0.9;0.9967;0.9833
290;0.8;0.9783;0.9013
291;0.9;0.9933;0.9669
292;0.9;0.98;0.9455
293;1;1;1
294;0.7;0.9133;0.795
295;0.9;0.9983;0.9909
296;0.8;0.9683;0.9092
297;0.8;0.9817;0.9092
298;0.8;0.945;0.8732
299;0.8;0.9933;0.9652
300;0.8;0.9833;0.9374
301;0.8;0.99;0.9519
302;0.9;0.9933;0.9714
303;0.9;0.9933;0.9714
304;0.9;0.9667;0.9333
305;0.8;0.9517;0.8819
306;0.9;0.985;0.9456
307;1;1;1
308;0.9;0.9983;0.9909
309;0.9;0.9767;0.9417
310;0.9;0.9933;0.9622
311;0.8;0.935;0.8663
312;0.9;0.9983;0.9909
313;0.9;0.9767;0.9417
314;0.9;0.9967;0.9833
315;0.8;0.9517;0.8709
316;0.9;0.9867;0.9556
317;0.9;0.9883;0.9063
318;0.9;0.9983;0.9909
319;0.9;0.995;0.9769
320;0.6;0.9317;0.6228
321;0.8;0.9883;0.9485
322;0.9;0.9617;0.9303
323;0.8;0.99;0.9452
324;0.8;0.9717;0.9097
325;0.8;0.955;0.8874
326;1;1;1
327;0.9;0.9967;0.9809
328;0.9;0.9967;0.9833
329;0.9;0.9783;0.9355
330;0.8;0.97;0.9109
331;0.7;0.93;0.6408
332;0.9;0.9917;0.9667
333;0.8;0.9667;0.9043
334;0.9;0.975;0.8854
335;0.9;0.9983;0.9909
336;0.9;0.995;0.9769
337;0.9;0.9717;0.8404
338;0.8;0.9667;0.9077
339;0.9;0.9633;0.9313
340;0.9;0.995;0.9698
341;0.9;0.9967;0.9833
342;0.8;0.9683;0.8943
343;0.7;0.97;0.8156
344;0.8;0.98;0.9248
