run,f1_score,roc_auc,auprc
1,0.0,0.18305084745762712,0.09608054075933822
2,0.6,0.9593220338983051,0.7359623709623708
3,0.0,0.15254237288135591,0.09242624361263571
4,0.0,0.08983050847457627,0.08732492933542481
5,0.0,0.18983050847457628,0.09648551686581688
6,0.0,0.12542372881355932,0.09147258252183077
7,0.0,0.19322033898305088,0.09622035808726326
8,0.0,0.19830508474576272,0.09694350446007702
9,0.0,0.19491525423728814,0.09608879802318461
10,0.0,0.14915254237288134,0.09280223496206322
11,0.0,0.18135593220338986,0.095021312249429
12,0.0,0.17966101694915254,0.0959136989098488
13,0.0,0.08305084745762711,0.08725911795382395
14,0.0,0.1711864406779661,0.09481026540526621
15,0.0,0.14576271186440679,0.09183164984672249
16,0.0,0.16779661016949154,0.09430852253989017
17,0.0,0.16440677966101697,0.09465889751718201
18,0.0,0.1423728813559322,0.09200685926863669
19,0.0,0.10847457627118645,0.08963291633868127
20,0.0,0.2,0.09743638117705139
21,0.0,0.10169491525423727,0.08860261797848681
22,0.0,0.09830508474576272,0.08852607825439283
23,0.0,0.17288135593220338,0.09389033336219679
24,0.0,0.15254237288135591,0.09334868324197189
25,0.0,0.10508474576271185,0.08982416942209581
26,0.0,0.22881355932203387,0.09947765705854816
27,0.0,0.12033898305084745,0.08985250581004989
28,0.0,0.1644067796610169,0.09376811413650174
29,0.0,0.13389830508474576,0.09232353735156276
30,0.0,0.11525423728813561,0.08909739549405377
31,0.0,0.2593220338983051,0.10306810177089248
32,0.0,0.12881355932203392,0.09079528482914266
33,0.0,0.18983050847457628,0.09524046193609034
34,0.0,0.2593220338983051,0.10342896606588217
35,0.0,0.22372881355932203,0.1000921310945553
36,0.0,0.16440677966101697,0.0945271740934407
37,0.0,0.07796610169491525,0.08706751967721743
38,0.0,0.12203389830508474,0.09036015602754201
39,0.0,0.17627118644067796,0.09484358433910384
40,0.0,0.18813559322033896,0.09579589978112105
41,0.0,0.14067796610169492,0.09314970947314158
42,0.0,0.23220338983050848,0.09982145330598331
43,0.0,0.18474576271186444,0.09573606847066117
44,0.0,0.1593220338983051,0.09276383105259646
45,0.0,0.15423728813559323,0.09199030759733023
46,0.0,0.1576271186440678,0.09300973391450262
47,0.0,0.11864406779661017,0.0908847687473513
48,0.0,0.10847457627118642,0.08968525001636923
49,0.0,0.14576271186440679,0.09375331906032117
50,0.0,0.19152542372881357,0.0955507058499798
51,0.0,0.19322033898305085,0.09581688434430044
52,0.0,0.11864406779661017,0.09046732558956813
53,0.0,0.12033898305084745,0.08972774448394388
54,0.0,0.19152542372881357,0.09646306686173542
55,0.0,0.1372881355932203,0.09109630061952559
56,0.0,0.19491525423728814,0.09653362525823304
57,0.0,0.1016949152542373,0.08940661761618669
58,0.0,0.13898305084745763,0.0914549948767333
59,0.0,0.13898305084745763,0.09162420534227658
60,0.0,0.25932203389830505,0.10377901143896265
