Run;f1_score;roc_auc;auprc
199;0,588235294;0,952542373;0,684350649
200;0,64516129;0,96440678;0,738199023
201;0,64516129;0,93559322;0,567317682
202;0,714285714;0,972881356;0,875396825
203;0,833333333;0,984745763;0,914026252
204;0,512820513;0,927118644;0,590250852
205;0,714285714;0,971186441;0,789151404
206;0,769230769;0,993220339;0,965151515
207;0,8;0,972881356;0,828856699
208;0,833333333;0,971186441;0,771280941
209;0,555555556;0,945762712;0,648800366
210;0,8;0,976271186;0,86965035
211;0,8;0,96440678;0,738199023
212;0,5;0,955932203;0,734989177
213;0,8;0,972881356;0,784614275
214;0,606060606;0,954237288;0,713324176
215;0,769230769;0,966101695;0,760822511
216;0,869565217;0,986440678;0,910588023
217;0,64516129;0,940677966;0,64835275
218;0,540540541;0,930508475;0,5647274
219;0,740740741;0,976271186;0,842947608
220;0,666666667;0,955932203;0,702390942
221;0,625;0,96440678;0,756825397
222;0,833333333;0,96440678;0,741078921
223;0,714285714;0,979661017;0,884700855
224;0,588235294;0,937288136;0,568825619
225;0,689655172;0,966101695;0,769508547
226;0,689655172;0,950847458;0,670129038
227;0,555555556;0,928813559;0,527882395
228;0,64516129;0,918644068;0,496691356
229;0,606060606;0,96440678;0,793611111
230;0,588235294;0,937288136;0,574682115
231;0,909090909;0,986440678;0,881345599
232;0,689655172;0,955932203;0,65765873
233;0,689655172;0,949152542;0,628214286
234;0,625;0,96440678;0,756825397
235;0,769230769;0,996610169;0,980909091
236;0,588235294;0,942372881;0,590898268
237;0,8;0,961016949;0,709412254
238;0,740740741;0,966101695;0,753199023
239;0,833333333;0,972881356;0,830634921
240;0,666666667;0,969491525;0,817592963
241;0,526315789;0,927118644;0,555492979
242;0,740740741;0,950847458;0,70243673
243;0,625;0,927118644;0,563197864
244;0,526315789;0,966101695;0,788386613
245;0,555555556;0,954237288;0,690302198
246;0,769230769;0,957627119;0,705331058
247;0,8;0,977966102;0,849357864
248;0,625;0,923728814;0,565485304
249;0,606060606;0,93559322;0,559713065
250;0,769230769;0,945762712;0,661419414
